字段名,值
app_name,library
toast_network_error,"网络故障,请检查网络连接是否正常"
desc_back,返回
close,关闭
yes,是
no,否
no_data,没有更多数据啦！
department,部门
maker,制单人
business_type,业务类型
src_bill_type,来源单据类型
src_bill_date,来源单据日期
src_bill_no,来源单据号
supplier_out,客户
supplier_in,供应商
businesser,业务员
money_type,币种
reset,重置
ok,确定
hint_input,请输入编码或名称
hint_bill_no,请输入单据号
please_select,请选择
all,全部
list_head,表头
list_body,表体
list,列表
hang,挂起
unhang,解挂
exit,退出
save,保存
barcode,条码
inventory,物料
amount,数量
batchnum,批号
product_date,生产日期
link_defined,表体自定义项>>
audit,已审核
unAudit,未审核
click_delete,删除
click_audit,审核
click_unaudit,弃审
select_all,全选
un_select,反选
receive_title,入库
select,筛选
receive_handler,处理人
receive_statu,状态
receive_myself,我自己
receive_everyone,所有人
receive_unhandle,待处理
receive_entered,已入库
receive_all,全部
receive_purchase_in,采购入库
receive_finish_in,产成品入库
receive_other_in,其他入库
receive_date_bill,单据日期
receive_no_bill,单据号
title_activity_test,TestActivity
sweepOut,扫出
boxCode,箱码
boxNumber,箱号
cargoCode,货码
batch,批号
labelsNumber,标签数
printNewBarcode,打印新条码
printOldBarcode,打印旧条码
unpacking,拆包
cancel,取消
printBarcode,打印条码
delivery_sale_out,销售出库
delivery_materia_out,材料出库
delivery_other_out,其他出库
pos,货位
out_pos,转出货位
in_pos,转入货位
tip_in,入
tip_out,出
tip_batch,批
tip_cargo,位
tip_inner,内
tip_outer,外
tip_pallet,托
